Algoritmo,P,Muestras,Tiempo_Prom(s),Tiempo_Dev,Ops_Prom,Ops_Dev,Calls_Prom,Calls_Dev
Memoizacion,45,20,0.00010246500460198149,1.1590395982318486e-05,28.0,0.0,91.0,0.0
Prog_Dinamica,45,20,0.0010387800037278793,0.0001342779398279553,284.0,0.0,319.0,0.0
Recursivo,45,20,0.0020418800006154923,0.00030137739089381615,598.0,0.0,1231.0,0.0
Formula_Math,55,20,0.0011709150014212355,0.00021075010264529024,453.0,0.0,415.0,0.0
Memoizacion,55,20,0.0001121150009566918,2.4609493522769473e-05,31.0,0.0,100.0,0.0
Prog_Dinamica,55,20,0.0011050150031223893,2.717377727798732e-05,346.0,0.0,384.0,0.0
Recursivo,55,20,0.0024406149983406066,0.00035162964814431703,825.0,0.0,1688.0,0.0
Formula_Math,56,20,0.00046569500118494035,8.848568597727961e-05,303.0,0.0,273.0,0.0
Memoizacion,56,20,5.696500302292407e-05,2.684825989688006e-06,23.0,0.0,76.0,0.0
Prog_Dinamica,56,20,0.000961125000321772,0.0003085599805496648,199.0,0.0,229.0,0.0
Recursivo,56,20,0.0007454499966115691,0.0001249075639780146,357.0,0.0,744.0,0.0
Formula_Math,66,20,0.0012015849963063375,0.0001998519782618525,535.0,0.0,493.0,0.0
Memoizacion,66,20,0.00013708500046050176,8.794448180487642e-06,35.0,0.0,112.0,0.0
Prog_Dinamica,66,20,0.001561385000240989,0.00032864777986870726,437.0,0.0,479.0,0.0
Recursivo,66,20,0.003990810000686906,0.0004379315284653871,1188.0,0.0,2418.0,0.0
Formula_Math,70,20,0.0004100549980648793,6.72205645237574e-05,318.0,0.0,287.0,0.0
Memoizacion,70,20,7.877000025473535e-05,5.365547362147963e-06,24.0,0.0,79.0,0.0
Prog_Dinamica,70,20,0.0006691849994240329,4.0964375418202814e-05,221.0,0.0,252.0,0.0
Recursivo,70,20,0.001278979999187868,0.00018982629593842292,426.0,0.0,883.0,0.0
Formula_Math,78,20,0.0016203049948671834,0.0003295107895926519,669.0,0.0,620.0,0.0
Memoizacion,78,20,0.00016175999771803618,2.207529427292625e-05,41.0,0.0,131.0,0.0
Prog_Dinamica,78,20,0.0023849300006986594,0.0003785875242843821,551.0,0.0,600.0,0.0
Recursivo,78,20,0.0061267150042112915,0.0012696205534914523,1650.0,0.0,3349.0,0.0
Formula_Math,84,20,0.0008827449972159229,0.00015889742082045747,430.0,0.0,392.0,0.0
Memoizacion,84,20,9.007000189740211e-05,7.259963359273941e-06,30.0,0.0,98.0,0.0
Prog_Dinamica,84,20,0.0010510750013054348,0.0001774414976110397,310.0,0.0,348.0,0.0
Recursivo,84,20,0.002235165001184214,0.0003861605026453028,668.0,0.0,1374.0,0.0
Formula_Math,91,20,0.002143135004735086,0.00038360724597105554,765.0,0.0,712.0,0.0
Memoizacion,91,20,0.00016065999952843412,1.977878761442443e-05,45.0,0.0,143.0,0.0
Prog_Dinamica,91,20,0.003021979998447932,0.0006019345764238306,660.0,0.0,713.0,0.0
Recursivo,91,20,0.006828164999024011,0.0011055930374509971,2240.0,0.0,4533.0,0.0
Formula_Math,105,20,0.001705435005715117,0.00029566181242155393,850.0,0.0,794.0,0.0
Memoizacion,105,20,0.0001742100008414127,1.321861941288539e-05,48.0,0.0,152.0,0.0
Prog_Dinamica,105,20,0.0031991699957870877,0.0006091604738511295,750.0,0.0,806.0,0.0
Recursivo,105,20,0.008746804995462298,0.0012043255970800681,2811.0,0.0,5678.0,0.0
Formula_Math,120,20,0.001136315005715005,0.00019435097403233423,504.0,0.0,462.0,0.0
Memoizacion,120,20,0.00015159999602474273,3.391117618715974e-05,34.0,0.0,110.0,0.0
Prog_Dinamica,120,20,0.00182347500231117,0.00027138563658543076,394.0,0.0,436.0,0.0
Recursivo,120,20,0.003963740002654958,0.0014924086565728156,1000.0,0.0,2042.0,0.0
Formula_Math,126,20,0.0007591750007122755,0.0001666897408813957,447.0,0.0,408.0,0.0
Memoizacion,126,20,0.00011028500011889264,2.6745455019738253e-05,31.0,0.0,101.0,0.0
Prog_Dinamica,126,20,0.0015822000001207925,0.0004568829371423762,336.0,0.0,375.0,0.0
Recursivo,126,20,0.0020514850009931253,0.0001405583759518337,793.0,0.0,1625.0,0.0
Formula_Math,136,20,0.0029366350005147978,0.000583410209133512,1143.0,0.0,1075.0,0.0
Memoizacion,136,20,0.0002509550016839057,3.971852878025023e-05,59.0,0.0,186.0,0.0
Prog_Dinamica,136,20,0.005205259997455869,0.000995862095552307,1051.0,0.0,1119.0,0.0
Recursivo,136,20,0.017473795000114478,0.003995680903432069,4792.0,0.0,9652.0,0.0
Formula_Math,153,20,0.003075555004761554,0.0006161771548638346,1246.0,0.0,1175.0,0.0
Memoizacion,153,20,0.00022849999804748223,4.455096019908293e-05,62.0,0.0,195.0,0.0
Prog_Dinamica,153,20,0.004980630001227837,0.0010231883036146705,1162.0,0.0,1233.0,0.0
Recursivo,153,20,0.01874654999555787,0.0032113779767642026,5775.0,0.0,11621.0,0.0
Formula_Math,165,20,0.0013604750027297996,0.0003577916450230801,672.0,0.0,621.0,0.0
Memoizacion,165,20,0.00015055500116432086,2.140650610140266e-05,42.0,0.0,135.0,0.0
Prog_Dinamica,165,20,0.002229384997917805,0.0006801990968286283,559.0,0.0,610.0,0.0
Recursivo,165,20,0.005382265003572684,0.0006286262221987917,1732.0,0.0,3515.0,0.0
Formula_Math,210,20,0.0009745399976964109,6.477642923347646e-05,609.0,0.0,561.0,0.0
Memoizacion,210,20,0.00012756500364048408,3.098946742033095e-05,39.0,0.0,126.0,0.0
Prog_Dinamica,210,20,0.0019765149991144426,0.00027586707981577417,494.0,0.0,542.0,0.0
Recursivo,210,20,0.0056868500032578595,0.0014877720075701926,1460.0,0.0,2968.0,0.0
Formula_Math,220,20,0.0015525549955782481,0.0002864135077453739,781.0,0.0,725.0,0.0
Memoizacion,220,20,0.00020168999471934513,9.017344576686882e-05,47.0,0.0,150.0,0.0
Prog_Dinamica,220,20,0.0028074850008124484,0.0005063168627290019,700.0,0.0,756.0,0.0
Recursivo,220,20,0.008884515000681858,0.0016970499300797191,2661.0,0.0,5378.0,0.0
Formula_Math,252,20,0.0011035949981305748,9.774739011225414e-05,628.0,0.0,579.0,0.0
Memoizacion,252,20,0.00012517500435933472,1.4170986675795217e-05,40.0,0.0,129.0,0.0
Prog_Dinamica,252,20,0.0018448199989506975,0.00036027548707676257,529.0,0.0,578.0,0.0
Recursivo,252,20,0.004502360001788474,0.0003251905969573106,1711.0,0.0,3471.0,0.0
Formula_Math,1001,20,0.004388284999004099,0.0010412657092642738,1466.0,0.0,1380.0,0.0
Memoizacion,1001,20,0.0002850350007065572,0.0001341876061289419,74.0,0.0,234.0,0.0
Prog_Dinamica,1001,20,0.005897729999560397,0.0010423752738839582,1532.0,0.0,1618.0,0.0
